Name,Gender,Grade,Math,Science,English,Total
Zara',Female,12,5 marks,100 marks,16 marks,121
Aditi,Male,3,100,29,83,212
"""Myra""",f,1,99 marks,66,61,226
Aryan',female,Grade 7,48,3 marks,83 marks,134
ARYAN,f,Grade 9,78,12,48 marks,138
Ishaan',female,Grade 2,74,52,97,223
KRISHNA,m,10,20 marks,47 marks,3,70
"""Isha""",0,5,15,8,94 marks,117
"""Anika""",M,5,43,98 marks,66,207
Saanvi',M,Grade 2,2,37,79,118
KRISHNA,1,3,64 marks,68,37 marks,169
Ananya',Male,6,1,60,92,153
"""Vihaan""",M,1,94,64,65 marks,223
Arjun',M,6,65 marks,88,51 marks,204
Isha,0,Grade 2,12 marks,91,81,184
"""Ishaan""",Male,5,18,34,7,59
DIYA,F,3,74,95 marks,50,219
"""Myra""",1,5,100 marks,25,54,179
Advika,Male,5,17,75,13,105
"""Kabir""",m,6,37,83 marks,57,177
ADITI,male,12,90 marks,90 marks,28,208
"""Myra""",m,9,46,56 marks,28,130
"""Aditi""",Male,7,66 marks,82 marks,39 marks,187
Shaurya,M,Grade 7,3,23,17,43
Vihaan,0,4,53 marks,37,19,109
SAANVI,f,Grade 4,3,59,14,76
"""Myra""",male,Grade 3,22,81,66,169
KABIR,Female,Grade 3,97 marks,4,59,160
"""Advika""",m,5,18,82,32 marks,132
Ananya',F,12,56,56 marks,89,201
ROHAN,m,Grade 6,60 marks,56,71,187
"""Aditi""",Female,7,73,21 marks,23,117
Shaurya,F,6,88,9,67,164
MYRA,F,Grade 9,12 marks,64 marks,5,81
"""Diya""",1,Grade 2,9,9 marks,43,61
"""Navya""",Female,3,65 marks,31 marks,25,121
ZARA,F,9,60,48 marks,24,132
"""Ananya""",0,Grade 5,42 marks,99 marks,95 marks,236
Advika,1,Grade 6,35,7,19,61
"""Ananya""",1,Grade 4,89 marks,39,100,228
Isha',M,3,66,90,94,250
Ishaan,f,11,83,66,36,185
"""Myra""",male,2,31,97,29,157
Anika',F,3,94,1,41,136
ANANYA,Female,3,40,89,44,173
Myra,M,11,90 marks,17,73,180
KRISHNA,0,4,54 marks,62,15 marks,131
Aarav',male,7,41,45,55,141
"""Advika""",m,6,26,70,75,171
Zara,F,Grade 3,23,70,61 marks,154
Kabir',M,Grade 6,28 marks,27,100 marks,155
Aarav',female,Grade 5,70,70,89,229
Shaurya,f,1,55,63,49 marks,167
"""Kabir""",Male,12,32,28 marks,99,159
"""Diya""",1,6,27,91 marks,90,208
Rohan',1,5,43,4,51,98
"""Ananya""",m,Grade 9,58 marks,87,98 marks,243
"""Vihaan""",F,12,86,46 marks,96,228
Navya,M,Grade 1,63,56,62,181
Aditi',0,2,44 marks,51,69 marks,164
"""Anika""",Male,Grade 9,70,92,91,253
Shaurya,F,10,38 marks,14,71 marks,123
"""Aarav""",M,12,69,75,26,170
Advika',Female,Grade 12,91,70,74,235
KRISHNA,F,Grade 10,98 marks,84,97,279
"""Aryan""",0,1,89,44 marks,99,232
DIYA,F,Grade 12,63 marks,86,68,217
ISHAAN,M,9,66,5,48,119
Aryan',female,4,87,43 marks,77,207
"""Advika""",M,Grade 9,46 marks,54,72,172
ISHA,F,9,9,63,56 marks,128
Vihaan,f,Grade 10,56 marks,29 marks,15 marks,100
Zara',f,4,37,95,35 marks,167
Kabir',f,3,18 marks,59 marks,9,86
Aditi',F,11,45,71,5,121
"""Arjun""",f,Grade 12,4,43 marks,80,127
Kabir,F,7,53,2 marks,97 marks,152
NAVYA,female,4,61,80,77 marks,218
Aryan',male,11,21,38 marks,73 marks,132
Navya',f,6,6,13,13 marks,32
ANIKA,f,8,57,69 marks,42,168
"""Reyansh""",Male,11,52,21 marks,85,158
"""Zara""",Female,10,94 marks,34,34,162
Rohan',M,9,39,88,46,173
Advika',M,1,51,14,23,88
Ishaan',F,8,34 marks,1 marks,59,94
"""Kabir""",male,11,29,95,29,153
Krishna',F,3,50,80,0 marks,130
"""Vihaan""",F,Grade 4,47,41 marks,24,112
"""Aryan""",male,4,96 marks,90,61,247
Saanvi',female,12,27 marks,84,94,205
Diya,m,5,16,34,87,137
Vihaan,male,Grade 7,51,97,31,179
"""Vihaan""",female,Grade 7,53,29,21 marks,103
REYANSH,male,Grade 1,33,36,86,155
Arjun,Male,Grade 10,57,54,42,153
REYANSH,f,3,33,28,36,97
Aarav,1,2,46,72,44,162
Reyansh,Male,Grade 7,38 marks,8,69 marks,115
ANIKA,female,12,11,49,90,150
VIHAAN,M,11,68 marks,56,17 marks,141
Aryan',Female,12,28 marks,72 marks,72,172
Advika,f,4,55,9,82 marks,146
Anika,male,2,77,24,4 marks,105
Isha',F,Grade 6,60 marks,80,20,160
Rohan,F,10,62,9 marks,75 marks,146
Vihaan',F,6,20,94 marks,51 marks,165
Aditi',Female,4,63,59 marks,39,161
Aarav,f,8,89,33 marks,12 marks,134
Isha,Male,Grade 6,0,68 marks,14,82
Aarav',f,Grade 11,16 marks,78,71,165
Kabir',f,Grade 2,83,68 marks,5 marks,156
ROHAN,m,3,39,49,6,94
Zara',M,12,43,26,94 marks,163
AARAV,0,Grade 3,74 marks,73,45 marks,192
Ishaan',0,Grade 10,6,49,70,125
Zara',F,Grade 5,22,28,13,63
"""Kabir""",M,Grade 12,20 marks,14,66,100
"""Advika""",F,9,53,36 marks,8 marks,97
"""Arjun""",F,11,24 marks,55 marks,46,125
Anika',0,7,12 marks,81 marks,71 marks,164
Myra,0,8,65 marks,18,75 marks,158
Rohan',m,Grade 9,42,33,12,87
Advika,0,3,46,18 marks,53 marks,117
"""Krishna""",M,Grade 4,37,3,0,40
ANANYA,f,Grade 7,47,19 marks,63,129
KABIR,male,2,19 marks,46,43,108
Arjun',male,3,55,24,84 marks,163
Saanvi',female,5,23,81,37 marks,141
Aarav,F,5,82 marks,98,51,231
ARJUN,f,12,14,50 marks,23,87
Aryan',1,6,81,79,38 marks,198
Kabir,F,9,46,48,82,176
Isha,m,Grade 9,91 marks,73,22 marks,186
Myra,F,10,15,2,12,29
"""Arjun""",male,Grade 1,69,85,52 marks,206
Myra,Male,Grade 7,44 marks,12 marks,31 marks,87
ISHAAN,1,10,77,87 marks,5 marks,169
Saanvi,1,2,77,23,73,173
DIYA,F,5,55 marks,19,89 marks,163
Myra,0,Grade 7,79 marks,40,78,197
ROHAN,male,7,74,81,22 marks,177
Myra,female,Grade 1,73 marks,96 marks,60,229
"""Kabir""",M,Grade 3,66,26,64,156
ARJUN,0,10,65,68 marks,80,213
Aditi',F,1,92,90,93,275
"""Rohan""",m,1,14,76,68 marks,158
MYRA,M,Grade 4,24 marks,75 marks,92,191
"""Ananya""",F,3,7,52 marks,13 marks,72
Arjun',male,Grade 12,28,9,23,60
"""Rohan""",0,1,65 marks,64,58,187
DIYA,M,4,48,31,14,93
"""Aarav""",male,Grade 9,26,25 marks,97,148
Vihaan',1,10,45,34 marks,94,173
ARJUN,1,7,11 marks,16,43 marks,70
"""Advika""",1,Grade 5,76 marks,57,37,170
Reyansh,0,7,93,78,5 marks,176
Saanvi,F,Grade 11,19 marks,76,46,141
Zara,male,12,90,34,54,178
Shaurya',0,8,14,57 marks,40,111
Aarav,M,12,80 marks,27,79 marks,186
Rohan',female,8,60,62,92 marks,214
Aditi,F,6,76 marks,63,87,226
Arjun,0,11,18,3 marks,76 marks,97
Zara',m,12,83,98,83,264
"""Ishaan""",M,3,33,47,52,132
"""Myra""",f,6,93,60,87,240
"""Advika""",Male,8,86,16 marks,86,188
"""Isha""",male,4,63,78,56,197
Ishaan,F,Grade 4,41,61,69 marks,171
Rohan,m,Grade 9,37,46,36,119
Diya,F,11,100,40,3,143
Aditi,male,6,65 marks,23,55,143
Vihaan,Female,Grade 11,90,50,67 marks,207
Rohan,female,1,63 marks,55,31,149
Anika',Male,10,87 marks,14 marks,34,135
"""Kabir""",1,4,99 marks,13,84,196
"""Arjun""",F,Grade 11,71,37 marks,99,207
Aditi',F,6,42 marks,17,33 marks,92
Reyansh,Male,Grade 3,11 marks,70 marks,50 marks,131
"""Arjun""",0,Grade 7,87 marks,100,12,199
KABIR,Female,Grade 9,77 marks,36,16 marks,129
"""Myra""",1,2,91,64,68,223
Krishna',f,9,0,52,79,131
"""Navya""",male,2,49,34,95,178
"""Aarav""",male,7,21,10 marks,47 marks,78
"""Ishaan""",F,6,45 marks,93 marks,27 marks,165
Ishaan',m,Grade 8,56,28,73,157
Myra,1,Grade 12,87,41,31,159
VIHAAN,male,Grade 12,96,46 marks,69 marks,211
"""Anika""",M,Grade 9,11,81,37 marks,129
Shaurya',Male,8,44,62,51,157
"""Vihaan""",0,Grade 1,55,94,10 marks,159
"""Saanvi""",0,3,50,4,6,60
Diya',M,Grade 5,16,96,5,117
Aryan',M,8,78,59 marks,4,141
Aditi',F,Grade 4,5 marks,97,79 marks,181
"""Advika""",female,3,55,38,45,138
Arjun',f,3,32,79,19,130
ANIKA,M,6,32,9,63,104
Zara,Female,7,27,14,45,86
"""Isha""",m,Grade 4,79 marks,84 marks,39,202
Vihaan',m,1,4 marks,48,45,97
Aarav',Male,9,69 marks,56,11 marks,136
Reyansh',f,Grade 5,74,60,18,152
Rohan',1,Grade 4,54 marks,70,42,166
Ananya',m,Grade 6,67 marks,45,61 marks,173
Aarav,1,Grade 8,99,79,44,222
Aditi,m,3,14,15,74,103
"""Reyansh""",f,12,42 marks,67,27,136
"""Zara""",Male,11,63,66,86,215
Ananya',M,2,55,77,3 marks,135
ANANYA,Male,Grade 6,68 marks,45,75,188
Shaurya',m,7,57 marks,59,63,179
"""Shaurya""",m,Grade 10,16 marks,78 marks,47 marks,141
SHAURYA,f,Grade 1,72,20,69 marks,161
VIHAAN,m,7,25,99 marks,8 marks,132
Advika,F,11,43,96,92 marks,231
"""Arjun""",Female,3,10,74,62,146
SAANVI,Male,2,26,37 marks,63,126
Aryan',Male,7,59,19,63,141
"""Shaurya""",Female,8,29 marks,42 marks,19 marks,90
Diya,0,6,72 marks,22,34,128
"""Anika""",F,Grade 4,15 marks,60,41,116
"""Arjun""",female,7,67,58 marks,15 marks,140
"""Reyansh""",Male,Grade 4,28,39,15,82
Myra',F,12,95,98,46,239
"""Ishaan""",m,7,90,97,77,264
Myra',Female,Grade 1,20 marks,37,17 marks,74
Saanvi',M,1,67 marks,15 marks,54 marks,136
KRISHNA,Male,Grade 1,63,32,14,109
Krishna,m,8,94,94 marks,40,228
SAANVI,male,9,80,98 marks,79 marks,257
Aryan,f,5,78 marks,2,35 marks,115
"""Saanvi""",Male,2,37,10 marks,24,71
Shaurya,Male,12,50,53,34,137
"""Arjun""",1,4,42,62,55,159
DIYA,1,8,24,51,82 marks,157
Anika',Male,9,4,80,64,148
Krishna,male,Grade 9,31,21,89,141
"""Ishaan""",M,1,49,69,5,123
Zara',1,Grade 7,27,8,46,81
DIYA,f,Grade 6,72,2,44,118
NAVYA,f,9,100 marks,45,1 marks,146
MYRA,f,4,57,13 marks,20 marks,90
Myra',M,4,98,70,57 marks,225
Ananya',m,10,8,49 marks,0 marks,57
ARJUN,male,8,13 marks,34,24,71
Isha',1,Grade 9,43 marks,97,80 marks,220
"""Anika""",male,Grade 5,34 marks,50 marks,76,160
Advika',0,7,75,65 marks,60,200
"""Navya""",M,Grade 1,64,3,59,126
VIHAAN,F,2,58 marks,50,41,149
Aarav,Female,10,55,92 marks,94,241
Saanvi,male,4,62,17 marks,57,136
Ishaan',f,8,25,98,48 marks,171
"""Isha""",male,Grade 1,37,29 marks,65,131
ARJUN,Female,Grade 12,81,5,64,150
"""Aditi""",male,3,33,67 marks,29,129
Ishaan,F,8,42 marks,4,21 marks,67
"""Kabir""",M,Grade 2,71,38,20,129
ARYAN,M,12,95 marks,72 marks,69 marks,236
SHAURYA,m,Grade 2,49,67,7,123
Aditi',F,10,30 marks,90,22,142
NAVYA,Female,12,48,35,76 marks,159
Aditi,M,Grade 10,25,90,99 marks,214
"""Isha""",M,3,14,61,92,167
Anika,m,2,98,88 marks,38,224
"""Rohan""",F,Grade 5,91,63,9 marks,163
Aarav,female,5,51 marks,61,43 marks,155
Anika,0,1,37 marks,12,48 marks,97
AARAV,1,Grade 7,24,80,25,129
Diya',m,9,51,57,7,115
Rohan,Female,8,63,67,9,139
Shaurya,M,Grade 8,54 marks,92,38 marks,184
ZARA,M,5,45,72,56 marks,173
"""Navya""",1,7,94 marks,86 marks,79,259
Aarav,f,Grade 1,18 marks,40 marks,58,116
"""Zara""",female,2,84,63 marks,15,162
"""Diya""",M,Grade 10,23 marks,38,47,108
VIHAAN,Male,Grade 11,35 marks,27,41 marks,103
ARJUN,M,12,39 marks,86 marks,79,204
"""Myra""",M,12,49,1 marks,41,91
Rohan,m,11,85 marks,11,17,113
Rohan,1,12,19,46,26 marks,91
Ishaan,M,11,31 marks,29,12,72
KRISHNA,Female,9,31,68,72 marks,171
"""Saanvi""",F,3,21,28,88,137
"""Diya""",M,Grade 10,40 marks,30,37 marks,107
Krishna,F,6,21,61,60,142
ANIKA,F,2,77,43,73 marks,193
ROHAN,0,Grade 10,28,81 marks,58,167
Aarav',Male,5,53,68 marks,73,194
"""Myra""",1,6,4 marks,81,31,116
Kabir',0,Grade 3,71,82 marks,79,232
Ananya',male,Grade 11,18,22 marks,96 marks,136
ARJUN,1,Grade 5,13 marks,12 marks,17 marks,42
Reyansh,Male,Grade 4,33,78 marks,50,161
Rohan',M,8,68,17,49,134
Navya',f,12,11,82,37 marks,130
Myra',female,9,34,75,41,150
ANIKA,0,7,41 marks,38,58 marks,137
Arjun,F,9,82 marks,100,32,214
"""Vihaan""",M,5,55,20,26,101
ANIKA,female,8,18 marks,94,14,126
"""Rohan""",Male,Grade 1,19,97 marks,82,198
"""Rohan""",M,9,68,16 marks,22,106
Aryan',M,Grade 6,94,2,17,113
ADITI,f,Grade 9,71,2 marks,96,169
Aryan',F,4,26 marks,5,92 marks,123
"""Aditi""",female,Grade 5,26 marks,9,39,74
VIHAAN,F,8,98,53,59 marks,210
ZARA,m,5,93,20,68 marks,181
"""Aarav""",female,5,41,16,86 marks,143
ANANYA,f,Grade 7,53,20,51 marks,124
REYANSH,f,7,78,33 marks,65 marks,176
"""Myra""",0,Grade 1,51,60,49,160
Krishna',m,Grade 4,20,40,82,142
ANANYA,0,10,32 marks,14,31,77
DIYA,f,12,21 marks,75,57,153
"""Reyansh""",m,Grade 6,4 marks,55 marks,45,104
Aryan',1,Grade 3,77,2,74 marks,153
Krishna,male,2,92,26 marks,17,135
"""Arjun""",male,5,80,2,50 marks,132
"""Ishaan""",M,Grade 12,31 marks,22 marks,31,84
ARJUN,M,3,83 marks,37,44,164
KABIR,male,4,76,12,20 marks,108
"""Vihaan""",F,7,58,47,56,161
Arjun,Female,Grade 11,69,7,4 marks,80
"""Kabir""",Male,8,87,48 marks,3,138
"""Zara""",0,7,92,83,56,231
Zara,0,11,64 marks,13,89 marks,166
ROHAN,M,5,15,71,87,173
"""Kabir""",Female,Grade 6,44 marks,81,76,201
"""Krishna""",female,12,19,13,29 marks,61
Anika,female,7,54,65,60,179
"""Advika""",1,4,47 marks,96,47 marks,190
REYANSH,F,4,81 marks,49 marks,72 marks,202
"""Shaurya""",f,Grade 12,42,18 marks,92,152
ADVIKA,0,7,86,39 marks,28,153
REYANSH,M,7,60,90 marks,59,209
REYANSH,0,6,73,49,74,196
"""Shaurya""",male,Grade 11,31 marks,53,99,183
Anika,1,3,11 marks,41,13,65
"""Rohan""",Female,4,80 marks,17,51 marks,148
Aarav',m,6,23,59,52,134
"""Shaurya""",1,Grade 10,32,67 marks,45 marks,144
Advika',Female,12,76 marks,19,13,108
"""Aarav""",0,10,62,41,70,173
REYANSH,Male,6,100,59,89,248
SHAURYA,male,6,56,67 marks,74 marks,197
"""Rohan""",F,11,52 marks,85,92,229
"""Zara""",M,11,56 marks,44 marks,92 marks,192
Shaurya,Male,Grade 10,61,25,60,146
"""Isha""",0,8,24 marks,83,58 marks,165
Navya,1,Grade 4,58,38 marks,59,155
Aryan,F,Grade 12,57 marks,94,100,251
Ishaan',M,1,38 marks,15,73,126
"""Ishaan""",F,Grade 2,8 marks,2 marks,3,13
SHAURYA,female,Grade 8,91,18,88,197
ANIKA,F,3,30,35,93,158
Navya,F,8,54,65,37 marks,156
Vihaan',F,Grade 8,12,22,2,36
"""Reyansh""",1,Grade 8,71,1,19,91
Vihaan',Male,10,86,14,83,183
NAVYA,m,2,91,62,34,187
Krishna',M,1,51,91 marks,65,207
Aryan,1,8,53,74,24 marks,151
Aditi',M,Grade 4,34,66 marks,64,164
Vihaan',F,Grade 2,78 marks,91,66 marks,235
Isha',0,Grade 8,23,84,26 marks,133
"""Kabir""",female,Grade 6,92,63,92 marks,247
"""Ananya""",m,5,62,94 marks,6 marks,162
Diya',M,Grade 8,90 marks,16,17,123
Reyansh',female,10,11 marks,45,76 marks,132
Ananya',female,5,59,75,31,165
Kabir,m,Grade 5,68,11,66,145
"""Anika""",Female,9,100 marks,29 marks,64,193
Rohan',female,6,36,89,22,147
Ishaan,f,2,66,7 marks,34,107
ADVIKA,f,11,11 marks,65 marks,2 marks,78
"""Saanvi""",F,9,22,76,0,98
ISHAAN,M,11,85,13,78,176
"""Ananya""",F,4,23 marks,48,78 marks,149
SHAURYA,F,7,56,4,84 marks,144
Ishaan',female,5,50 marks,96 marks,81,227
Shaurya',Male,6,24 marks,51 marks,44 marks,119
NAVYA,f,1,96,40 marks,85,221
Ananya',f,5,21,35,88,144
Anika',female,11,79,5 marks,96,180
ARJUN,M,10,69,64,66 marks,199
"""Aditi""",female,6,81,1 marks,82,164
"""Navya""",M,11,39,33 marks,44,116
Aditi,m,8,60,86,35,181
Shaurya',1,9,24,8 marks,23,55
Zara',Female,2,17,15,92,124
Myra',f,6,63,97,49 marks,209
ZARA,M,3,94 marks,64,45 marks,203
Anika',female,Grade 6,34,6,41 marks,81
Advika',female,10,36 marks,98,2,136
Arjun,Male,Grade 3,21,58 marks,10,89
AARAV,m,2,92 marks,57,95,244
ANANYA,female,Grade 2,83,75 marks,3,161
"""Kabir""",M,1,89,56,61,206
SAANVI,M,Grade 9,86,56,67,209
Aarav',F,Grade 7,51,89 marks,36 marks,176
Rohan',male,9,62,93,10,165
Diya,1,2,90,16,10,116
Zara',0,10,63,20 marks,34 marks,117
Vihaan',Male,Grade 3,1,51 marks,79 marks,131
ISHAAN,F,7,93,75,7,175
Krishna,m,Grade 10,29,91,94,214
Myra,m,11,65 marks,68,50,183
Advika',female,10,22,66,30,118
ZARA,m,Grade 5,67,97 marks,81,245
ADITI,M,Grade 5,30,55 marks,63,148
"""Isha""",f,11,67,90,15,172
"""Anika""",female,2,57,37 marks,65 marks,159
Reyansh',0,6,34,75,8,117
ARYAN,M,5,52,9,1,62
Arjun,0,1,71 marks,84,71 marks,226
Aarav',M,2,100,47 marks,61,208
"""Isha""",M,2,26,61,4 marks,91
Anika,f,7,32,40 marks,42,114
Arjun,female,Grade 6,100 marks,28 marks,49,177
Krishna,0,9,95,42,31,168
Zara,M,Grade 4,73,63,7,143
Ananya',male,3,69,92,76,237
Aarav,F,6,67,73,83,223
Navya',F,4,41,35 marks,91,167
Zara,M,6,16 marks,95,39,150
Anika,m,12,99 marks,100 marks,65 marks,264
"""Rohan""",Male,4,73 marks,62,98,233
Myra,Male,1,31 marks,54 marks,75 marks,160
Krishna',f,11,85 marks,74,53,212
Saanvi,Male,Grade 9,50 marks,26,75 marks,151
VIHAAN,f,8,56 marks,0 marks,67 marks,123
ZARA,Female,8,5,18,31,54
ADVIKA,F,Grade 9,70,48,18 marks,136
ANIKA,0,Grade 3,38 marks,79,24 marks,141
Krishna',M,3,54 marks,3,87,144
"""Krishna""",M,Grade 11,20 marks,20 marks,28 marks,68
AARAV,m,2,63 marks,81 marks,62,206
AARAV,F,4,69 marks,10,87,166
Krishna',male,Grade 4,78,53 marks,23,154
Aditi,f,6,1 marks,16,30,47
Krishna',0,1,23 marks,37 marks,24 marks,84
Krishna,Male,Grade 4,74,37,52 marks,163
ADITI,M,7,50,28 marks,78,156
Ishaan,M,Grade 10,50 marks,49 marks,71,170
KABIR,m,Grade 4,47 marks,6 marks,63 marks,116
"""Ishaan""",m,11,95,23,47,165
"""Shaurya""",male,5,10,38,33,81
"""Krishna""",0,2,73,71,93,237
Ananya',0,6,67 marks,20 marks,53,140
Isha,F,Grade 4,34,11,50,95
Ananya',M,10,69,35 marks,72,176
Krishna',f,Grade 8,28,29,72,129
Rohan',female,Grade 6,15,41,31,87
Ishaan,Female,12,83 marks,54 marks,27,164
Isha,F,Grade 9,36,67,44,147
Myra',Male,5,89,72,91,252
Diya',F,Grade 4,26,37,43,106
"""Kabir""",Male,6,95,18 marks,38 marks,151
ISHA,m,8,58,16,77,151
ARJUN,F,Grade 8,12,21,68,101
KRISHNA,F,10,64 marks,77,46 marks,187
MYRA,m,1,79,64 marks,53,196
Reyansh,M,11,50,38 marks,34,122
Kabir,female,Grade 11,51,74,32,157
Diya,0,Grade 10,37,60,99,196
NAVYA,F,Grade 11,51,0,5,56
KABIR,Female,8,98,82 marks,18 marks,198
SHAURYA,m,10,25,29,96,150
Aarav,Female,9,92 marks,42 marks,90 marks,224
"""Isha""",F,Grade 6,43,63,41,147
Aryan,M,Grade 7,96 marks,29,13 marks,138
ISHAAN,F,Grade 7,100,54 marks,0,154
Vihaan',F,Grade 5,23,65,8,96
VIHAAN,M,Grade 3,5,2,37,44
Aarav',1,Grade 8,44,95 marks,75,214
Aditi',Male,1,63,23,11 marks,97
Anika',M,4,1,75 marks,54,130
Advika,0,10,77 marks,31 marks,55,163
"""Advika""",f,8,24,5,6,35
Rohan',0,9,73,12,13,98
Myra',Female,9,89,41 marks,37,167
NAVYA,0,10,33,71,56,160
Ishaan',Female,1,62,25,35,122
Isha,F,12,99,32,34,165
"""Zara""",female,7,76,50,100,226
Reyansh,F,2,0 marks,7,69 marks,76
Zara,M,9,31,96,65,192
Advika,male,3,93,92,52,237
Saanvi,m,6,20,100,32,152
"""Arjun""",male,4,59,98 marks,62,219
MYRA,M,Grade 1,64,85,79 marks,228
Ishaan,F,Grade 9,50,92,84,226
Aarav',F,Grade 5,34,18,7,59
"""Aditi""",Male,7,66,97,65 marks,228
Anika',M,8,7,91,90,188
REYANSH,m,7,4 marks,21,73 marks,98
Aryan',F,11,5,49,52,106
DIYA,F,4,27 marks,52 marks,23,102
Shaurya',1,Grade 7,71 marks,83,20,174
"""Krishna""",1,6,56,56 marks,36,148
"""Aarav""",f,Grade 12,56 marks,26,53,135
DIYA,F,Grade 5,96,5,70 marks,171
KABIR,m,Grade 8,21,41 marks,99,161
Aarav',M,Grade 9,34 marks,17 marks,1 marks,52
"""Shaurya""",M,8,5,96,47 marks,148
Reyansh,female,9,91,68,43,202
Vihaan,m,Grade 8,46 marks,78 marks,44 marks,168
"""Isha""",Male,10,22 marks,16 marks,75 marks,113
ADITI,F,3,53 marks,58 marks,59,170
"""Zara""",F,1,41,37 marks,0 marks,78
Aditi,M,Grade 11,69,30 marks,48,147
Aditi,F,4,80,19,69 marks,168
Krishna,Male,Grade 1,21,9 marks,27,57
ZARA,male,8,15,13,98,126
Kabir',Female,Grade 8,32 marks,62,43 marks,137
"""Navya""",m,5,63,25,3,91
ZARA,0,7,71,80,55,206
Navya',F,10,93 marks,79,51,223
Anika',f,7,74 marks,45,8 marks,127
"""Ananya""",female,3,93 marks,80,66 marks,239
Myra',female,9,17,62 marks,37 marks,116
ISHA,1,9,84,26,92,202
"""Zara""",M,11,64,38,90 marks,192
Diya',0,4,56,67,32 marks,155
Aarav,0,2,66 marks,89 marks,89,244
"""Ishaan""",F,9,69 marks,39,67,175
"""Arjun""",M,Grade 2,75,68,40,183
"""Diya""",f,Grade 5,78,47,15 marks,140
Krishna',m,8,48,94 marks,58,200
"""Myra""",M,3,41 marks,40,52,133
ANIKA,female,Grade 10,66,52,16,134
Zara,m,3,57,92,12,161
Isha,0,4,77,98,24,199
Ishaan',m,Grade 12,58,34 marks,18 marks,110
"""Vihaan""",M,7,45 marks,22 marks,85 marks,152
"""Aarav""",F,6,81,51 marks,29,161
Aarav',Female,Grade 5,77,54,86,217
"""Anika""",Male,Grade 5,62,27 marks,63,152
KRISHNA,M,12,73,2,52 marks,127
Shaurya,F,Grade 12,74 marks,13 marks,64,151
"""Vihaan""",m,2,22,12,72,106
Reyansh,M,3,72 marks,99,37,208
Aryan,M,2,23,33,90,146
"""Shaurya""",m,1,29 marks,30,87 marks,146
Aryan',Male,Grade 2,26 marks,6,85 marks,117
Isha,male,7,36 marks,71,44,151
Isha',m,5,29 marks,62,73,164
VIHAAN,male,12,100,46,6,152
Rohan,Female,1,20,34 marks,34 marks,88
Zara,male,Grade 8,51 marks,57,92 marks,200
ADVIKA,female,Grade 6,25,36,4,65
Vihaan,f,9,51,71,37 marks,159
Rohan',0,2,88 marks,60,55,203
Reyansh',Male,8,60,76,49,185
Anika',Female,8,63 marks,9,15,87
Reyansh',F,9,6,58 marks,57,121
Navya',0,8,51,79 marks,27,157
"""Reyansh""",f,Grade 6,98 marks,80,39,217
"""Aarav""",F,2,57,18,32,107
Shaurya,Female,Grade 10,76,67,45,188
Vihaan',m,2,33,95,12,140
ISHA,F,1,47,39,59,145
ROHAN,M,11,32 marks,19 marks,21,72
Navya',1,Grade 12,93 marks,76,18,187
ARYAN,f,4,45,92,62 marks,199
Arjun,F,6,39,76 marks,65,180
"""Saanvi""",F,8,89,24 marks,74,187
Advika,1,Grade 11,62,61,43,166
Vihaan',f,2,67,8,51,126
ADVIKA,M,4,96 marks,62,7,165
"""Advika""",0,1,30 marks,71,38,139
Myra,male,11,19 marks,61,63,143
Kabir',female,7,21,2 marks,20,43
ADITI,F,Grade 1,65 marks,83,61,209
"""Navya""",Female,2,74,30 marks,99,203
Ishaan',Female,4,81,52,0 marks,133
Reyansh',Female,9,78,9 marks,55 marks,142
"""Vihaan""",m,9,23,55,35,113
Arjun',m,7,1 marks,62,95,158
"""Krishna""",M,2,49,74 marks,45,168
ADITI,0,12,58 marks,85 marks,12 marks,155
"""Anika""",0,Grade 3,85,7,5 marks,97
"""Kabir""",male,3,94,41 marks,53 marks,188
ISHA,m,8,10 marks,82 marks,63 marks,155
Vihaan,female,Grade 3,3,9 marks,88 marks,100
Vihaan,1,Grade 7,36,71,38,145
"""Myra""",Male,6,10,75 marks,23 marks,108
Vihaan',Male,7,93,10,100 marks,203
Diya',M,Grade 5,15 marks,31,16,62
Aditi,Female,Grade 4,0,25 marks,42,67
Isha',F,6,98 marks,28,71,197
ADITI,female,5,36 marks,69,96,201
"""Reyansh""",F,7,12,25,99,136
"""Saanvi""",F,9,39,49,27 marks,115
VIHAAN,m,12,53 marks,67,70,190
Rohan,m,Grade 8,26,29,46 marks,101
"""Ishaan""",f,Grade 8,77,81,28,186
Krishna',Female,3,77 marks,95,30 marks,202
Ishaan',0,7,70,43,94,207
"""Shaurya""",M,10,34 marks,53 marks,63 marks,150
Isha,F,11,46 marks,24,13,83
ARYAN,M,Grade 10,68 marks,100,34 marks,202
ANANYA,0,5,70 marks,39,16 marks,125
ADVIKA,0,11,93,6,58,157
"""Rohan""",male,8,30 marks,26 marks,81,137
"""Shaurya""",m,3,76 marks,76 marks,1,153
Ishaan,Male,11,100,10,80,190
SHAURYA,0,Grade 9,76 marks,2,7 marks,85
"""Myra""",1,11,66,5,6,77
"""Arjun""",Female,10,65 marks,7 marks,88 marks,160
Myra',Male,8,15,9,29,53
ADVIKA,Female,4,60 marks,97,38 marks,195
"""Arjun""",f,10,54,23,68 marks,145
Vihaan',Male,Grade 5,67,45,35,147
ARJUN,m,5,15,19 marks,58,92
Ishaan',F,8,97 marks,57,25 marks,179
Reyansh,Male,11,12,84,3,99
"""Kabir""",Female,7,99,46,85,230
